CO_TAZID,Enrol_Elem,Enrol_Midl,Enrol_High
490660,0,0,0
490663,0,19,216
490670,634,0,0
490681,0,0,111
490685,10,9,0
490686,204,103,79
490687,128,37,7
490688,488,1080,0
490690,609,0,0
490691,0,0,2301
490694,485,0,0
490699,693,0,0
490704,0,0,276
490709,671,376,194
490710,604,0,0
490714,0,0,0
490723,0,0,0
490726,534,0,0
490735,375,0,0
490743,0,877,0
490746,591,0,0
490750,0,0,62
490754,633,0,0
490755,0,0,0
490762,0,0,0
490763,0,0,2026
490764,0,0,0
490766,520,0,0
490787,366,0,0
490791,0,0,0
490805,0,0,0
490808,437,0,0
490812,510,0,0
490817,421,9,23
490840,0,0,138
490842,557,126,0
490844,0,220,293
490845,612,0,0
490848,0,0,3
490849,406,0,0
490854,0,0,90
490856,0,1086,0
490857,415,0,0
490865,656,0,0
490866,0,1038,0
490878,415,0,0
490879,360,0,0
490880,0,0,1664
490891,0,0,0
490892,590,0,0
490893,0,1314,0
490894,429,0,0
490899,0,1196,0
490900,869,0,0
490902,0,0,46
490938,0,0,0
490939,454,0,0
490946,663,0,0
490948,0,7,1634
490953,436,0,0
490957,0,1073,0
490960,0,1074,0
490961,568,0,0
490962,723,0,0
490967,0,0,1898
490970,0,0,37
490973,411,0,0
490977,471,0,0
490979,384,0,0
490981,425,0,0
490993,844,397,351
490995,0,0,309
491030,0,0,25
491131,478,0,0
491136,394,0,0
491137,313,0,0
491138,0,1035,0
491146,0,1144,1647
491148,331,0,0
491158,507,0,0
491172,0,957,0
491178,0,0,1600
491184,441,129,0
491189,507,0,0
491198,0,964,0
491201,591,0,0
491203,603,0,0
491227,224,0,0
491234,675,0,0
491242,725,0,0
491245,576,0,0
491263,0,0,0
491270,304,0,0
491303,0,0,0
530015,784,331,0
530020,447,0,0
530034,0,699,0
530044,450,0,0
530052,490,0,0
530068,11,6,2
530073,0,799,1327
530078,0,0,311
530080,439,0,0
530081,0,0,0
530088,489,0,0
530095,27,3,0
530099,0,0,1124
530109,455,0,0
530134,420,703,0
530141,0,0,0
530155,0,0,0
530156,0,0,0
530159,0,0,0
530160,0,0,113
530173,0,0,0
530177,0,0,314
530186,0,727,0
530188,0,0,118
530197,562,0,0
530208,0,844,1266
530222,476,0,0
530236,0,0,115
530245,0,653,0
530247,520,0,0
530258,1014,0,0
530270,595,0,0
530273,448,0,0
530275,0,804,0
530278,0,912,1241
530281,552,0,0
530286,553,0,0
530330,412,0,0
530332,0,0,592
530344,670,0,0
530347,535,0,0
530372,210,0,0
530383,0,0,0
530387,441,0,0
530388,0,0,0
530423,626,0,0
530427,610,0,0
530433,0,915,0
530436,732,0,0
530439,0,99,125
530448,0,933,1402
530476,0,0,0
530477,1170,85,0
530480,0,785,0
530498,0,0,1188
530534,533,0,0
530536,0,0,129
530559,0,722,0
530631,0,0,0
530635,0,8,43
530645,417,0,0
530655,0,0,0
530681,0,0,0
530686,0,0,0
530694,35,0,0
530710,176,86,89
530716,0,0,0
530721,428,0,0
530722,0,271,266
530764,0,0,12
530812,386,0,0
530839,0,0,0
570019,632,0,0
570037,0,0,1258
570042,475,0,0
570060,618,0,0
570066,0,0,1443
570071,602,0,0
570074,704,0,0
570075,0,1034,0
570097,429,0,0
570098,0,0,2002
570101,448,0,0
570112,690,0,0
570118,531,0,0
570119,0,863,0
570123,317,85,0
570130,497,0,0
570135,713,1004,0
570141,297,57,0
570147,327,213,261
570150,0,0,0
570151,394,0,0
570158,0,70,549
570160,462,0,0
570171,0,0,0
570173,0,0,24
570174,625,0,0
570175,0,0,0
570176,438,650,0
570177,385,0,0
570178,717,0,0
570181,38,0,0
570183,16,0,0
570184,0,0,1186
570188,696,291,0
570190,0,0,0
570193,0,563,0
570208,0,0,0
570219,735,313,230
570225,666,0,0
570247,0,0,0
570248,522,0,0
570251,0,0,171
570261,0,12,271
570265,215,64,0
570267,0,0,1133
570274,505,0,0
570278,537,0,0
570279,0,0,0
570280,357,806,0
570283,8,8,1
570284,33,0,0
570290,571,0,0
570297,0,799,0
570301,13,0,0
570305,722,0,0
570307,742,268,0
570317,526,797,0
570318,488,0,0
570337,516,0,0
570343,784,0,0
570346,502,0,0
570348,286,0,0
570349,504,0,0
570351,0,697,1660
570354,558,0,0
570358,373,0,0
570359,0,0,0
570363,405,0,0
570364,0,961,0
570368,0,0,0
570372,318,0,0
570377,383,0,0
570379,0,0,0
570384,443,351,246
570390,438,0,0
570392,0,0,1382
570393,0,0,0
570394,374,612,0
570397,0,0,0
570398,0,0,0
570401,0,0,0
570403,41,5,0
570408,579,0,0
570412,380,801,0
570416,134,0,0
570417,20,0,0
570418,629,0,0
