SchoolID,Public_Elem,Public_Midl,Public_High,PriCha_Elem,PriCha_Midl,PriCha_High
267,0,1029,0,0,0,0
270,0,0,1453,0,0,0
271,0,0,1390,0,0,0
281,476,0,0,0,0,0
282,476,0,0,0,0,0
284,278,0,0,0,0,0
288,253,0,0,0,0,0
289,0,187,0,0,0,0
290,0,645,0,0,0,0
293,0,0,1005,0,0,0
297,32,8,10,0,0,0
302,19,0,0,0,0,0
304,73,0,0,0,0,0
306,0,54,43,0,0,0
310,576,0,0,0,0,0
311,470,0,0,0,0,0
312,711,0,0,0,0,0
313,493,0,0,0,0,0
314,526,0,0,0,0,0
315,743,0,0,0,0,0
316,385,0,0,0,0,0
317,480,0,0,0,0,0
318,863,0,0,0,0,0
319,377,0,0,0,0,0
320,305,0,0,0,0,0
321,641,0,0,0,0,0
322,523,0,0,0,0,0
323,601,0,0,0,0,0
324,524,0,0,0,0,0
325,299,0,0,0,0,0
326,503,0,0,0,0,0
327,528,0,0,0,0,0
328,462,0,0,0,0,0
329,409,0,0,0,0,0
330,675,0,0,0,0,0
331,589,0,0,0,0,0
332,697,0,0,0,0,0
333,723,0,0,0,0,0
334,773,0,0,0,0,0
335,533,0,0,0,0,0
336,432,0,0,0,0,0
337,476,0,0,0,0,0
338,727,0,0,0,0,0
339,525,0,0,0,0,0
340,604,0,0,0,0,0
341,504,0,0,0,0,0
342,561,0,0,0,0,0
343,787,0,0,0,0,0
344,550,0,0,0,0,0
345,817,0,0,0,0,0
346,669,0,0,0,0,0
347,333,0,0,0,0,0
348,937,0,0,0,0,0
349,420,0,0,0,0,0
350,462,0,0,0,0,0
352,663,0,0,0,0,0
353,734,0,0,0,0,0
354,945,0,0,0,0,0
355,379,0,0,0,0,0
356,366,0,0,0,0,0
357,482,0,0,0,0,0
359,0,993,0,0,0,0
360,0,641,0,0,0,0
361,0,1011,0,0,0,0
362,0,995,0,0,0,0
363,0,1242,0,0,0,0
364,0,1057,0,0,0,0
365,0,690,0,0,0,0
366,0,988,0,0,0,0
367,0,1130,0,0,0,0
368,0,1107,0,0,0,0
369,0,1060,0,0,0,0
370,0,964,0,0,0,0
371,0,1318,0,0,0,0
390,0,0,1440,0,0,0
391,0,0,2016,0,0,0
392,0,0,2120,0,0,0
393,0,0,2051,0,0,0
394,0,0,1868,0,0,0
395,0,0,1455,0,0,0
396,0,0,1512,0,0,0
400,0,0,169,0,0,0
403,5,29,304,0,0,0
424,340,0,0,0,0,0
425,417,0,0,0,0,0
426,310,0,0,0,0,0
427,120,0,0,0,0,0
428,149,0,0,0,0,0
430,93,0,0,0,0,0
432,511,0,0,0,0,0
433,0,905,0,0,0,0
434,0,133,141,0,0,0
435,0,177,175,0,0,0
436,0,39,46,0,0,0
437,0,0,1032,0,0,0
440,16,11,14,0,0,0
445,165,0,0,0,0,0
446,122,0,0,0,0,0
447,196,0,0,0,0,0
448,93,0,0,0,0,0
449,233,0,0,0,0,0
450,130,0,0,0,0,0
452,0,254,0,0,0,0
453,0,39,48,0,0,0
454,0,0,629,0,0,0
458,8,0,0,0,0,0
459,12,0,0,0,0,0
460,137,0,0,0,0,0
461,79,0,0,0,0,0
462,213,0,0,0,0,0
463,0,85,0,0,0,0
464,0,78,65,0,0,0
465,0,38,29,0,0,0
466,0,0,155,0,0,0
472,0,239,0,0,0,0
473,0,0,486,0,0,0
486,458,0,0,0,0,0
487,520,0,0,0,0,0
488,428,0,0,0,0,0
