maz_id,SchoolName,Public_Elem,Public_Midl,Public_High,PriCha_Elem,PriCha_Midl,PriCha_High,Enrol_Elem,Enrol_Midl,Enrol_High
29089,Pleasant Grove High,0,0,1957,0,0,0,0,0,1957
29116,Pony Express School,975,0,0,0,0,0,975,0,0
29119,A to Z Building Blocks on Ranches Parkway,0,0,0,0,0,0,0,0,0
29123,Odyssey Charter School,0,0,0,420,0,0,420,0,0
29256,Westlake High,0,0,3155,0,0,0,0,0,3155
29276,Central School,594,0,0,0,0,0,594,0,0
29278,John Hancock Charters School Eagle MountainJohn Hancock Charter School,0,0,0,887,159,0,887,159,0
29366,Horizon SchoolThunder Ridge School,1062,19,112,0,0,0,1062,19,112
29367,Lakeview Academy,0,0,0,782,279,0,782,279,0
29368,Vista Heights Middle,0,1689,0,0,0,0,0,1689,0
29404,Athenian eAcademy,0,0,0,479,94,0,479,94,0
29466,Greenwood School,658,0,0,0,0,0,658,0,0
29494,Mount Mahogany School,585,0,0,0,0,0,585,0,0
29546,Grovecrest SchoolPleasant Grove Jr High,681,1183,0,0,0,0,681,1183,0
29572,Dry Creek School,1111,0,0,0,0,0,1111,0,0
29669,New Hope Academy,0,0,0,0,0,0,0,0,0
29694,Snow Springs School,769,0,0,0,0,0,769,0,0
29715,Rockwell Charter High School,0,0,0,0,109,178,0,109,178
29722,A to Z Building Blocks American Fork on 300 East,0,0,0,0,0,0,0,0,0
29724,A to Z Building Blocks American Fork on 100 East,0,0,0,0,0,0,0,0,0
29742,Barratt SchoolDan W. Peterson,558,28,184,0,0,0,558,28,184
29779,Forbes School,546,0,0,0,0,0,546,0,0
29780,Manila School,540,0,0,0,0,0,540,0,0
29782,American Legacy Academy,0,0,0,0,0,0,0,0,0
29805,Black Ridge School,821,0,0,0,0,0,821,0,0
29870,UTBS Academy - Lehi,0,0,0,0,0,0,0,0,0
29929,Meadow School,574,0,0,0,0,0,574,0,0
29980,Serv By ApptAlpine Online School,0,0,0,0,0,0,0,0,0
30045,Willowcreek Middle,0,1594,0,0,0,0,0,1594,0
30047,Shelley School,732,0,0,0,0,0,732,0,0
30068,American Fork High,0,0,2387,0,0,0,0,0,2387
30113,The PEAC Preschool,0,0,0,0,0,0,0,0,0
30130,Lehi High,0,0,2299,0,0,0,0,0,2299
30157,Riverview School,958,0,0,0,0,0,958,0,0
30162,River Rock School,932,0,0,0,0,0,932,0,0
30228,Ascent Academies of Utah Lehi,0,0,0,521,126,0,521,126,0
30244,American Heritage School,0,0,0,0,0,0,0,0,0
30261,Sego Lily School,604,0,0,0,0,0,604,0,0
30268,Lehi School,476,0,0,0,0,0,476,0,0
30311,Lincoln Academy,0,0,0,574,337,0,574,337,0
30320,Legacy SchoolAmerican Fork Jr High,766,1840,0,0,0,0,766,1840,0
30337,Harvest School,988,0,0,0,0,0,988,0,0
30343,Lehi Jr High,0,1382,0,0,0,0,0,1382,0
30393,Deerfield School,505,0,0,0,0,0,505,0,0
30501,North Point School,1057,0,0,0,0,0,1057,0,0
30531,Utah Military Academy - Camp Williams,0,0,0,0,169,188,0,169,188
30540,Cedar Ridge School,662,0,0,0,0,0,662,0,0
30570,Liberty Hills Elementary,824,0,0,0,0,0,824,0,0
30643,Freedom School,623,0,0,0,0,0,623,0,0
30651,Mountain Ridge Jr High,0,963,0,0,0,0,0,963,0
30667,Lone Peak High,0,0,2562,0,0,0,0,0,2562
30696,Eaglecrest School,701,0,0,0,0,0,701,0,0
